local_obj_coords,global_obj_coords,local_to_global_obj_coords,local_wrist_coords,global_wrist_coords,local_to_global_wrist_coords,global_to_local_transf,shape,orientation,hand_orient_variation,local_finger_coords,global_finger_coords,local_to_global_finger_coords,local_coord_region,total_episode_reward,success,coords_file,coords_file_idx
"[-0.014643051753127804, 0.024058943873689356, 0.022375558738794595]","[0.012692828394925259, 0.04606465278648878, 0.051904666684084805]","[0.01269282839492526, 0.04606465278648877, 0.05190466668408481]","[-8.673617379884035e-19, 0.0, 0.0]","[7.592751995355237e-05, 0.07643338730125263, 0.03732827652333891]","[7.59275199535535e-05, 0.07643338730125263, 0.037328276523338914]","[[-0.99359402  0.09711633  0.05778698 -0.00950458]
 [-0.10878429 -0.96045101 -0.25631979  0.08298676]
 [ 0.03060872 -0.26096413  0.96486311 -0.01607263]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.31768331  0.10908661 -1.54258661],"[-0.04014573687030042, 0.014115515196461759, 0.007271363481772314, 0.05957724934989218, 0.0142655161512147, 0.02619160389802254, 0.05957712321663629, 0.0142655161517313, -0.02608052753928683, -0.06821839568789947, 0.0363688050620022, 0.013289296464946546, 0.0877995413480142, 0.03651880731630357, 0.03146340311779351, 0.08779953350231376, 0.03651880731633571, -0.03135169347570812]","[0.03865151261370321, 0.05707975492191984, 0.03840616028586375, -0.05986984387921078, 0.06168291249987888, 0.06238584405101158, -0.06146970176936715, 0.07532405140480677, 0.011950385203857, 0.06430773155724492, 0.03140978203566227, 0.03688644917551558, -0.09017078998430546, 0.04167481138233085, 0.06339933066916817, -0.09209347210903485, 0.05806729747497896, 0.002791360457317439]","[0.03865151261370322, 0.05707975492191984, 0.03840616028586375, -0.05986984387921078, 0.06168291249987888, 0.06238584405101159, -0.061469701769367155, 0.07532405140480677, 0.011950385203857005, 0.06430773155724492, 0.031409782035662255, 0.03688644917551559, -0.09017078998430547, 0.041674811382330854, 0.06339933066916818, -0.09209347210903485, 0.05806729747497896, 0.0027913604573174414]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[0.020468684838968736, 0.03169381311373112, 0.010591971030399022]","[-0.017499809432350324, 0.0390180895774561, 0.05189539029983321]","[-0.017499809432350324, 0.039018089577456096, 0.05189539029983321]","[0.0, 0.0, -1.734723475976807e-18]","[0.0023225083301608414, 0.07245078368494864, 0.04689685228649131]","[0.002322508330160842, 0.07245078368494863, 0.04689685228649131]","[[-9.99799690e-01 -1.98430238e-02 -2.61437522e-03  3.88229170e-03]
 [ 1.99986667e-02 -9.85252647e-01 -1.69933151e-01  7.93052092e-02]
 [ 7.96167451e-04 -1.69951395e-01  9.85452124e-01 -3.39033400e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]",Vase1M,normal,[-1.40096825 -0.02358842 -1.57491038],"[-0.051761799813460255, 0.011619356286029288, 0.007169465402968178, 0.04796118640673235, 0.011769357240782242, 0.02608970581921841, 0.047961060273476484, 0.011769357241298808, -0.02618242561809097, -0.07983445863105931, 0.03387264615156971, 0.013187398386142395, 0.07618347840485439, 0.034022648405871124, 0.031361505038989365, 0.07618347055915396, 0.03402264840590325, -0.031453591554512265]","[0.054312019448544, 0.060811432130408904, 0.05212282814331717, -0.04537292772787829, 0.055469316444421324, 0.0704816158156904, -0.04541441898950696, 0.06435304061758093, 0.018969933176645453, 0.08282888243157457, 0.038420609725124524, 0.05434503379112251, -0.07314033312136035, 0.032088237182896474, 0.07182136601605575, -0.07319033661255117, 0.042763750647786446, 0.009920095657824625]","[0.054312019448544, 0.060811432130408904, 0.05212282814331717, -0.04537292772787829, 0.055469316444421324, 0.0704816158156904, -0.04541441898950696, 0.06435304061758093, 0.01896993317664545, 0.08282888243157456, 0.038420609725124524, 0.0543450337911225, -0.07314033312136035, 0.032088237182896474, 0.07182136601605575, -0.07319033661255117, 0.04276375064778644, 0.009920095657824621]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[0.020369349253814124, 0.0367855818516864, 0.012152653812563278]","[-0.025663932100467017, 0.04040203398465938, 0.05188535814108671]","[-0.025663932100467017, 0.04040203398465938, 0.051885358141086704]","[1.734723475976807e-18, 0.0, 0.0]","[-0.0013197409711690686, 0.07590198731402155, 0.043955031051217994]","[-0.0013197409711690707, 0.07590198731402155, 0.04395503105121799]","[[-0.98019102  0.13147269  0.14812327 -0.0177834 ]
 [-0.1583309  -0.96946854 -0.18724872  0.08160616]
 [ 0.11898276 -0.20699201  0.97108054 -0.02681574]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.38993371  0.15935375 -1.45674735],"[-0.03633242104725542, 0.01562900479589363, 0.0066498495433979735, 0.06339056517293719, 0.015779005750646564, 0.025570089959648202, 0.0633904390396813, 0.015779005751163158, -0.026702041477661156, -0.06440507986485448, 0.03788229466143407, 0.012667782526572201, 0.09161285717105921, 0.038032296915735446, 0.030841889179419192, 0.09161284932535876, 0.03803229691576758, -0.031973207414082445]","[0.03260963481024061, 0.054596972247393634, 0.04210438221645947, -0.06291050777694682, 0.0636460613240274, 0.07522066711338579, -0.06912986663493652, 0.07446595811660627, 0.024460198894418958, 0.05731884966296183, 0.02808665603211671, 0.03962316561020564, -0.09346987525005174, 0.04469143594185801, 0.08035348666840816, -0.10094378114989033, 0.05769365779982242, 0.019354967691242564]","[0.032609634810240595, 0.05459697224739364, 0.04210438221645947, -0.06291050777694682, 0.0636460613240274, 0.07522066711338578, -0.06912986663493652, 0.07446595811660628, 0.024460198894418958, 0.05731884966296182, 0.028086656032116707, 0.03962316561020564, -0.09346987525005174, 0.044691435941858, 0.08035348666840816, -0.1009437811498903, 0.05769365779982241, 0.019354967691242564]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[0.043940256398992975, 0.05289062472456403, 0.010335098991211279]","[-0.047710599243279216, 0.023813097146786484, 0.05190864232162403]","[-0.047710599243279216, 0.023813097146786477, 0.05190864232162403]","[-8.673617379884035e-19, 0.0, 1.734723475976807e-18]","[7.551445432961434e-05, 0.07403675845390639, 0.046518858475406155]","[7.551445432961439e-05, 0.07403675845390639, 0.046518858475406155]","[[-0.99224335  0.07945424  0.09560412 -0.010255  ]
 [-0.09485717 -0.98100623 -0.16920074  0.08050871]
 [ 0.08034453 -0.17695705  0.98093372 -0.03253666]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.40890213  0.09558978 -1.49307962],"[-0.041602094351579584, 0.013635111210869355, 0.006979626296866109, 0.05812089186861302, 0.013785112165622282, 0.02589986671311633, 0.05812076573535711, 0.013785112166138883, -0.02637226472419302, -0.06967475316917864, 0.03588840107640979, 0.012997559280040333, 0.08634318386673505, 0.036038403330711156, 0.031171665932887317, 0.08634317602103458, 0.0360384033307433, -0.03164343066061431]","[0.040622302831983675, 0.05612007245220569, 0.047081006488486433, -0.05682125847735678, 0.06054826492271852, 0.07514905681558898, -0.061020912914767605, 0.06979817703748503, 0.02387354849543006, 0.06684983589038512, 0.030994048939315025, 0.04653506471577861, -0.08651196415113643, 0.04002714639652357, 0.07925323655652501, -0.09155880549037955, 0.051142719914586826, 0.017635789531254324]","[0.04062230283198367, 0.05612007245220568, 0.04708100648848643, -0.05682125847735678, 0.06054826492271852, 0.07514905681558898, -0.061020912914767605, 0.06979817703748503, 0.02387354849543006, 0.06684983589038512, 0.030994048939315018, 0.046535064715778604, -0.08651196415113645, 0.040027146396523564, 0.07925323655652501, -0.09155880549037956, 0.05114271991458683, 0.01763578953125432]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[-0.03460397249592838, 0.055062968381861165, -0.0066305276937335825]","[0.01987641034709652, 0.01524661834287861, 0.05191620706638316]","[0.019876410347096515, 0.015246618342878604, 0.05191620706638317]","[0.0, 0.0, -2.6020852139652106e-18]","[-0.0010118727757093306, 0.07650855576826569, 0.06108048271084302]","[-0.0010118727757093306, 0.07650855576826569, 0.06108048271084302]","[[-9.72746390e-01  2.31644874e-01  1.02524962e-02 -1.93333378e-02]
 [-2.31870355e-01 -9.71937320e-01 -3.96734850e-02  7.65501729e-02]
 [ 7.74624178e-04 -4.09694892e-02  9.99160098e-01 -5.78938808e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]",Vase1M,normal,[-1.5357226   0.23440949 -1.5750787 ],"[-0.028868114239862738, 0.01978006105332883, 0.007292169186531618, 0.07085487198032986, 0.019930062008081756, 0.026212409602781834, 0.070854745847074, 0.019930062008598343, -0.026059721834527528, -0.0569407730574618, 0.04203335091886927, 0.013310102169705844, 0.0990771639784519, 0.04218335317317064, 0.031484208822552824, 0.09907715613275148, 0.042183353173202764, -0.03133088777094882]","[0.022488720039493912, 0.05029766910266359, 0.06728581300190431, -0.07453657946477889, 0.07247704361203035, 0.08720662073771843, -0.07457694802609792, 0.07461857691949346, 0.03497839148870464, 0.04464108096796878, 0.021919427032552317, 0.0721280111209211, -0.1071455069693167, 0.0571698058110627, 0.09188047548808122, -0.10719415743003803, 0.05974330641714921, 0.02911813735593267]","[0.022488720039493912, 0.0502976691026636, 0.06728581300190431, -0.07453657946477887, 0.07247704361203036, 0.08720662073771841, -0.07457694802609792, 0.07461857691949347, 0.03497839148870464, 0.04464108096796879, 0.021919427032552327, 0.0721280111209211, -0.1071455069693167, 0.057169805811062714, 0.09188047548808122, -0.10719415743003802, 0.059743306417149214, 0.029118137355932674]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[-0.0924279512015559, 0.04976688646257895, -0.023433935835998853]","[0.0678209971100645, 0.0019108830847814858, 0.051951504116852586]","[0.06782099711006451, 0.0019108830847814756, 0.05195150411685258]","[0.0, 0.0, -1.734723475976807e-18]","[-0.0022088549924800423, 0.08079871320660245, 0.07295980184485969]","[-0.0022088549924800414, 0.08079871320660245, 0.07295980184485969]","[[-0.94395253  0.32975191  0.01474096 -0.02980408]
 [-0.3278246  -0.94177688  0.07474856  0.0699166 ]
 [ 0.03853117  0.06572664  0.99709345 -0.07797326]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.65445767  0.33470288 -1.53065785],"[-0.021386046489517398, 0.026058572116769, 0.006282935931638577, 0.07833693973067518, 0.026208573071521926, 0.025203176347888802, 0.0783368135974193, 0.02620857307203854, -0.027068955089420567, -0.04945870530711645, 0.048311861982309426, 0.012300868914812815, 0.10655923172879724, 0.04846186423661083, 0.030474975567659764, 0.10655922388309674, 0.04846186423664298, -0.032340121025841856]","[0.009678005790260708, 0.049618219160121074, 0.08085706598421863, -0.08377591449625521, 0.08360436057077765, 0.10120353873662072, -0.08578990206035406, 0.08016864732402215, 0.04908333676470795, 0.029113965451973943, 0.01979911102453005, 0.08810709097350299, -0.11750846605015107, 0.07229957778777733, 0.10853944033165325, -0.11992879810409351, 0.06817094985380666, 0.04590691855436492]","[0.009678005790260711, 0.04961821916012107, 0.08085706598421863, -0.0837759144962552, 0.08360436057077765, 0.10120353873662072, -0.08578990206035407, 0.08016864732402217, 0.04908333676470794, 0.02911396545197394, 0.019799111024530046, 0.08810709097350299, -0.11750846605015107, 0.07229957778777732, 0.10853944033165325, -0.11992879810409349, 0.06817094985380664, 0.04590691855436492]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[-0.10494468854202418, 0.08635272239061068, 0.06910331593133534]","[0.09844804461182508, -0.0348241695415281, 0.05188611417669756]","[0.09844804461182508, -0.03482416954152812, 0.05188611417669757]","[1.734723475976807e-18, 0.0, 0.0]","[-0.003303126369599955, 0.07758674439025176, 0.03588816983721867]","[-0.0033031263695999535, 0.07758674439025176, 0.03588816983721867]","[[-0.96247143  0.09837459  0.25292526 -0.01988875]
 [-0.16425233 -0.95306257 -0.25434801  0.08253056]
 [ 0.21603222 -0.28634625  0.93345375 -0.01056969]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.31209859  0.16508313 -1.35188348],"[-0.03754138240605514, 0.01511818953770952, 0.006151346110058874, 0.06218160381413748, 0.01526819049246244, 0.025071586526309107, 0.06218147768088157, 0.015268190492979047, -0.027200544911000272, -0.06561404122365422, 0.03737147940324995, 0.012169279093233102, 0.09040389581225951, 0.037521481657551335, 0.030343385746080087, 0.09040388796655906, 0.03752148165758347, -0.03247171084742155]","[0.03167507269537453, 0.05772363074922866, 0.02828972174064443, -0.06024270898626083, 0.061973138553376744, 0.07113520076139487, -0.07153505198095367, 0.07694105503228177, 0.02234155167684708, 0.0563391174346823, 0.03203000420831831, 0.021146819487868222, -0.08992213519859527, 0.04203115616172876, 0.07753423180655011, -0.10349221216847591, 0.06001802282828707, 0.018899242264451867]","[0.03167507269537452, 0.05772363074922865, 0.02828972174064443, -0.060242708986260836, 0.061973138553376744, 0.07113520076139487, -0.07153505198095365, 0.07694105503228175, 0.022341551676847066, 0.0563391174346823, 0.03203000420831829, 0.021146819487868215, -0.08992213519859528, 0.04203115616172874, 0.07753423180655013, -0.10349221216847591, 0.060018022828287054, 0.018899242264451867]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[-0.09864130413153288, 0.07206027025449757, 0.024950504009602848]","[0.08075811452424653, -0.016768222680822235, 0.05190651499220624]","[0.08075811452424651, -0.016768222680822217, 0.05190651499220625]","[0.0, -1.3877787807814457e-17, 0.0]","[-0.0019398822671693981, 0.07652489621479844, 0.05356554292100984]","[-0.001939882267169397, 0.07652489621479845, 0.05356554292100984]","[[-0.9584649   0.20417142  0.19914584 -0.02815086]
 [-0.2250555  -0.97033246 -0.08834553  0.07855029]
 [ 0.17520005 -0.12949496  0.97597951 -0.04202942]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.48833041  0.22751283 -1.39449273],"[-0.03027723452524248, 0.01888589672387264, 0.005706038561093232, 0.06944575169495013, 0.019035897678625582, 0.02462627897734346, 0.06944562556169426, 0.019035897679142183, -0.0276458524599659, -0.05834989334284155, 0.041139186589413075, 0.01172397154426745, 0.09766804369307214, 0.04128918884371446, 0.02989807819711442, 0.09766803584737169, 0.041289188843746605, -0.032917018396387186]","[0.02382910752891688, 0.05127864840814178, 0.051436449640740844, -0.0684708060475305, 0.06904360539934125, 0.08974838296769573, -0.07762876496811316, 0.07581255707972792, 0.03873182872720664, 0.04678188244996033, 0.023174632315315087, 0.0497532968856053, -0.0996054884957522, 0.052530028545333306, 0.09854792435655413, -0.11061068876749339, 0.060664265200901235, 0.037241675726735965]","[0.023829107528916885, 0.05127864840814179, 0.051436449640740844, -0.06847080604753052, 0.06904360539934123, 0.08974838296769574, -0.07762876496811318, 0.07581255707972794, 0.03873182872720664, 0.046781882449960344, 0.023174632315315094, 0.04975329688560531, -0.0996054884957522, 0.052530028545333306, 0.09854792435655413, -0.11061068876749337, 0.060664265200901235, 0.03724167572673596]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[0.01901987910269487, 0.036652892725910054, -0.0038826002128436333]","[-0.026982721377380916, 0.04265728821826751, 0.051898112892569875]","[-0.026982721377380916, 0.0426572882182675, 0.05189811289256988]","[0.0, 0.0, 0.0]","[-0.0012286762364132273, 0.07502800267564204, 0.05491985660557656]","[-0.0012286762364132273, 0.07502800267564202, 0.054919856605576564]","[[-0.96727515  0.16391775  0.19367434 -0.02412346]
 [-0.18198029 -0.9800944  -0.07936079  0.07766941]
 [ 0.17681049 -0.11200864  0.97785076 -0.0450824 ]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.49750381  0.18327657 -1.39417379],"[-0.033853326745642204, 0.01683547725281466, 0.005922976436426133, 0.0658696594745504, 0.01698547820756756, 0.024843216852676354, 0.06586953334129449, 0.016985478208084152, -0.027428914584633, -0.06192598556324127, 0.03908876711835511, 0.01194090941960036, 0.09409195147267242, 0.03923876937265645, 0.030115016072447327, 0.09409194362697197, 0.03923876937268858, -0.03270008052105429]","[0.029500324854128044, 0.05231506003684236, 0.05281904614105999, -0.06364124212031728, 0.06639518202398394, 0.09062209687430091, -0.072883381418461, 0.07225009151649303, 0.03950772882535121, 0.05366868366773354, 0.02522906770544006, 0.05150069413984897, -0.0940575150011887, 0.04862050345618951, 0.09947702466435197, -0.1051638755775663, 0.05565633549026467, 0.03805323300031704]","[0.029500324854128044, 0.05231506003684236, 0.05281904614106, -0.06364124212031728, 0.06639518202398392, 0.09062209687430091, -0.072883381418461, 0.07225009151649303, 0.03950772882535122, 0.053668683667733544, 0.025229067705440048, 0.05150069413984898, -0.09405751500118871, 0.048620503456189505, 0.09947702466435199, -0.1051638755775663, 0.05565633549026466, 0.038053233000317044]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[0.03332451303194609, 0.04725999984788653, 0.014391880824390236]","[-0.027089842360879614, 0.021163143318895357, 0.05190990466141735]","[-0.02708984236087961, 0.021163143318895357, 0.05190990466141735]","[0.0, 0.0, 0.0]","[0.0022412680165394515, 0.07254868697455033, 0.044812802763989926]","[0.0022412680165394524, 0.07254868697455033, 0.044812802763989926]","[[-0.99570003 -0.07214305  0.05811043  0.00486142]
 [ 0.05996401 -0.98008672 -0.18929958  0.07945265]
 [ 0.07060991 -0.18500106  0.98019837 -0.03066211]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.38821408 -0.0674785  -1.50577471],"[-0.05622527076783617, 0.011430102965230074, 0.007358161866497788, 0.04349771545235643, 0.011580103919983, 0.026278402282748026, 0.043497589319100555, 0.011580103920499574, -0.02599372915456134, -0.08429792958543524, 0.033683392830770494, 0.013376094849672004, 0.07172000745047846, 0.03383339508507187, 0.03155020150251901, 0.07171999960477801, 0.033833395085103996, -0.03126489509098263]","[0.05942972598033899, 0.06404118945445283, 0.04659427250386869, -0.03851950362468527, 0.05319959068505883, 0.0709064121520686, -0.0422103086815591, 0.06286999972194697, 0.01966934673935509, 0.08914099546686664, 0.04314295866506482, 0.04664918781565897, -0.06491380295338608, 0.02837810480427378, 0.07350129209842364, -0.06934916364057951, 0.03999896508049104, 0.011930036288052701]","[0.05942972598033898, 0.06404118945445282, 0.046594272503868675, -0.03851950362468526, 0.05319959068505882, 0.0709064121520686, -0.042210308681559096, 0.06286999972194696, 0.01966934673935509, 0.08914099546686663, 0.04314295866506481, 0.04664918781565897, -0.06491380295338608, 0.028378104804273774, 0.07350129209842364, -0.0693491636405795, 0.03999896508049104, 0.011930036288052701]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
