local_obj_coords,global_obj_coords,local_to_global_obj_coords,local_wrist_coords,global_wrist_coords,local_to_global_wrist_coords,global_to_local_transf,shape,orientation,hand_orient_variation,local_finger_coords,global_finger_coords,local_to_global_finger_coords,local_coord_region,total_episode_reward,success,coords_file,coords_file_idx
"[0.009402890150406379, 0.06186233803164015, -0.008049833213029243]","[-0.025410517005437783, 0.020005517008451365, 0.05274453058995557]","[-0.02541051700543778, 0.020005517008451372, 0.05274453058995557]","[0.0, 0.0, 2.8189256484623115e-18]","[-0.0012367654168469848, 0.07731814234306508, 0.0632828291274998]","[-0.0012367654168469844, 0.07731814234306508, 0.0632828291274998]","[[-0.96412486  0.25569948 -0.07128133 -0.01645172]
 [-0.25418023 -0.96669827 -0.02978017  0.07631353]
 [-0.07652231 -0.0105935   0.99701159 -0.06236928]
 [ 0.          0.          0.          1.        ]]",CubeM,normal,[-1.5409801   0.25772415 -1.65678373],"[-0.026988980248106784, 0.02113346599341661, 0.008143931248434925, 0.07273400597208583, 0.02128346694816958, 0.027064171664685156, 0.07273387983882992, 0.02128346694868618, -0.025207959772624206, -0.05506163906570585, 0.04338675585895705, 0.01416186423160914, 0.10095629797020783, 0.04353675811325848, 0.032335970884456125, 0.10095629012450741, 0.043536758113290594, -0.030479125709045506]","[0.018789079726737802, 0.0499011162359825, 0.07269687510335646, -0.0788422782642797, 0.07505479500493786, 0.08444772016172765, -0.07484217234933083, 0.07560850752789457, 0.032331808194974464, 0.03973777553211156, 0.021146984035968354, 0.08003517366617663, -0.11211184851769464, 0.060703155513880634, 0.08702933581687029, -0.10730508458635828, 0.061368585174928665, 0.02440195694847437]","[0.018789079726737802, 0.04990111623598251, 0.07269687510335646, -0.07884227826427971, 0.07505479500493786, 0.08444772016172764, -0.07484217234933084, 0.07560850752789457, 0.032331808194974464, 0.03973777553211156, 0.021146984035968333, 0.08003517366617661, -0.11211184851769464, 0.06070315551388063, 0.08702933581687028, -0.10730508458635828, 0.06136858517492867, 0.024401956948474367]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
"[0.0018932107187804009, 0.049835724098476974, -0.010070785979948454]","[-0.003492517005437834, 0.022894517008451416, 0.05274453058995545]","[-0.0034925170054378356, 0.022894517008451416, 0.052744530589955464]","[0.0, 0.0, 5.7462715141731735e-18]","[0.0010653598114900888, 0.07230008493987568, 0.06401040782141337]","[0.0010653598114900903, 0.07230008493987569, 0.06401040782141337]","[[-0.98699919  0.08398366 -0.13703774  0.00375133]
 [-0.08190814 -0.99642437 -0.02072495  0.07345544]
 [-0.1382883  -0.00923101  0.990349   -0.06257791]
 [ 0.          0.          0.          1.        ]]",CubeM,normal,[-1.55649447  0.08216598 -1.71263963],"[-0.04199525141885048, 0.013516893496465107, 0.007744816948538785, 0.057727734801342134, 0.013666894451218103, 0.026665057364788983, 0.05772760866808621, 0.013666894451734683, -0.025607074072520372, -0.07006791023644957, 0.035770183362005534, 0.013762749931712979, 0.08595002679946413, 0.035920185616307, 0.031936856584559956, 0.08595001895376367, 0.03592018561633912, -0.030878240008941665]","[0.040336477821778724, 0.05523311544573276, 0.07715527691933885, -0.060718763114138236, 0.06328409925468605, 0.0822239964282095, -0.05349001424194036, 0.06376661310139992, 0.030456360832736517, 0.06538923411309515, 0.030646198819375112, 0.08650094614821204, -0.09112589624916898, 0.04343192486922947, 0.08311619987866244, -0.08243929536093522, 0.044011770841686434, 0.020907333117502393]","[0.040336477821778724, 0.05523311544573277, 0.07715527691933886, -0.060718763114138236, 0.06328409925468605, 0.08222399642820952, -0.05349001424194036, 0.06376661310139992, 0.03045636083273652, 0.06538923411309516, 0.03064619881937511, 0.08650094614821204, -0.09112589624916898, 0.04343192486922948, 0.08311619987866245, -0.08243929536093522, 0.044011770841686434, 0.020907333117502407]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
"[-0.057054654287450365, 0.09527279192575078, 0.02309170410043336]","[0.04863899516366795, -0.02859406995542886, 0.052695098986734655]","[0.04863899516366796, -0.028594069955428847, 0.05269509898673466]","[0.0, 0.0, 0.0]","[0.0007603930286433878, 0.07407412094643193, 0.04701642924946853]","[0.0007603930286433894, 0.07407412094643194, 0.047016429249468535]","[[-9.95584936e-01  9.23605397e-02  1.67381280e-02 -6.87145696e-03]
 [-9.38616305e-02 -9.81099218e-01 -1.69216781e-01  8.07014027e-02]
 [ 7.92811129e-04 -1.70040746e-01  9.85436713e-01 -3.37366996e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]",CubeM,normal,[-1.4028617   0.09423156 -1.57436515],"[-0.041053253324373096, 0.013810017528169106, 0.007319014859202231, 0.058669732895819504, 0.013960018482922082, 0.02623925527545246, 0.058669606762563595, 0.013960018483438683, -0.0260328761618569, -0.06912591214197217, 0.03606330739370954, 0.013336947842376446, 0.08689202489394152, 0.03621330964801098, 0.03151105449522343, 0.08689201704824108, 0.036213309648043104, -0.03130404209827819]","[0.04034196546676788, 0.05548889216969912, 0.05120481387778501, -0.05893981659330125, 0.06133498338446125, 0.07149330684432831, -0.058981132944525935, 0.07022336395775927, 0.01998242732593341, 0.06620672272685155, 0.030040107153214642, 0.05289959214669449, -0.08912205603116481, 0.04121250227492906, 0.07339508938475091, -0.08917184872776206, 0.05189362743380004, 0.011494786913124005]","[0.04034196546676789, 0.05548889216969914, 0.05120481387778502, -0.05893981659330124, 0.06133498338446126, 0.07149330684432831, -0.05898113294452593, 0.07022336395775927, 0.019982427325933413, 0.06620672272685156, 0.030040107153214653, 0.0528995921466945, -0.08912205603116481, 0.04121250227492905, 0.07339508938475091, -0.08917184872776207, 0.051893627433800056, 0.011494786913124016]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
"[0.0577273003044903, 0.06942376518471413, -0.005381298011739913]","[-0.05645651700543776, 0.00314551700845134, 0.052744530589955624]","[-0.05645651700543776, 0.0031455170084513373, 0.05274453058995562]","[2.168404344971009e-19, 0.0, 1.3010426069826053e-18]","[0.0018309900424410787, 0.0712937479060678, 0.06455316678669384]","[0.0018309900424410789, 0.0712937479060678, 0.06455316678669384]","[[-0.99488434  0.02096844 -0.09882042  0.00670588]
 [-0.01999867 -0.99974174 -0.01079396  0.07200874]
 [-0.09902123 -0.00876246  0.99504674 -0.0634274 ]
 [ 0.          0.          0.          1.        ]]",CubeM,normal,[-1.56068218  0.02094112 -1.67239995],"[-0.04788402775692727, 0.012122550776180956, 0.00728689865091395, 0.05183895846326534, 0.012272551730933882, 0.026207139067164167, 0.051838832330009424, 0.01227255173145047, -0.026064992370145174, -0.07595668657452632, 0.034375840641721396, 0.013304831634088181, 0.08006125046138737, 0.03452584289602277, 0.03147893828693515, 0.08006124261568687, 0.03452584289605489, -0.031336158306566476]","[0.048506066870278135, 0.05810642341795541, 0.07640504087717837, -0.05258327571475977, 0.05988170865619734, 0.08537527813243433, -0.047407099526696125, 0.060339738632772234, 0.03336207660026621, 0.07539417625653089, 0.03521750896738698, 0.08492711628323585, -0.08162824824711665, 0.03817974812279664, 0.08759182497841271, -0.07540821237386468, 0.03873016292311158, 0.02508786864496087]","[0.04850606687027813, 0.058106423417955404, 0.07640504087717837, -0.05258327571475976, 0.05988170865619733, 0.08537527813243433, -0.047407099526696125, 0.06033973863277223, 0.03336207660026621, 0.07539417625653089, 0.03521750896738697, 0.08492711628323586, -0.08162824824711665, 0.038179748122796626, 0.0875918249784127, -0.07540821237386466, 0.03873016292311157, 0.02508786864496087]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
"[-0.0023882543700171005, 0.06865135653771204, -0.014891636253580035]","[0.006947482994562178, 0.002220517008451429, 0.05274453058995561]","[0.006947482994562179, 0.002220517008451439, 0.052744530589955596]","[-4.336808689942018e-19, 0.0, 3.63207727782644e-18]","[0.0021189447450549966, 0.07095758281811174, 0.06661443851915165]","[0.002118944745054997, 0.07095758281811174, 0.06661443851915164]","[[-0.99285401 -0.01102295 -0.11882515  0.01080144]
 [ 0.00999983 -0.99990765  0.00920308  0.07031678]
 [-0.11891562  0.00794909  0.99287254 -0.06645172]
 [ 0.          0.          0.          1.        ]]",CubeM,normal,[-1.5804116  -0.01281231 -1.69293567],"[-0.0508552276151986, 0.011708538876408249, 0.007128468207522271, 0.04886775860499401, 0.011858539831161245, 0.02604870862377251, 0.048867632471738136, 0.011858539831677825, -0.026223422813536845, -0.07892788643279769, 0.03396182874194868, 0.013146401190696488, 0.07709005060311602, 0.03411183099625015, 0.031320507843543496, 0.07709004275741561, 0.034111830996282254, -0.03149458874995814]","[0.05188015842289776, 0.05986736469211466, 0.0798427336710432, -0.049378620165465986, 0.05876853468997948, 0.08677990238652049, -0.04316252184415373, 0.05835302040073116, 0.03488035330803172, 0.07925911313646838, 0.037973410530818534, 0.08935831091545547, -0.07780360593065676, 0.03624811170187635, 0.08886540784196315, -0.07033390177898446, 0.03574878917031579, 0.026498024082926345]","[0.05188015842289776, 0.05986736469211467, 0.07984273367104318, -0.04937862016546598, 0.05876853468997949, 0.08677990238652047, -0.04316252184415373, 0.05835302040073116, 0.034880353308031714, 0.07925911313646838, 0.03797341053081853, 0.08935831091545544, -0.07780360593065676, 0.036248111701876355, 0.08886540784196315, -0.07033390177898448, 0.03574878917031581, 0.026498024082926334]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
"[-0.04402852326804822, 0.0886690294218856, 0.044372352818160724]","[0.035308795302183046, -0.02451439690745532, 0.05269656254312307]","[0.035308795302183046, -0.024514396907455313, 0.05269656254312308]","[0.0, 0.0, 0.0]","[-0.0016503013699121355, 0.07650888270120312, 0.03862760790188703]","[-0.0016503013699121355, 0.07650888270120311, 0.03862760790188703]","[[-0.98041737  0.10071034  0.16923121 -0.01586022]
 [-0.13954311 -0.96164666 -0.2361428   0.08246585]
 [ 0.1389586  -0.25513356  0.95686853 -0.01721224]
 [ 0.          0.          0.          1.        ]]",CubeM,normal,[-1.33019213  0.14001878 -1.4381227 ],"[-0.03856600133596311, 0.014698968520726378, 0.0066584138177332615, 0.06115698488422951, 0.014848969475479298, 0.025578654233983464, 0.06115685875097361, 0.014848969475995913, -0.026693477203325888, -0.06663866015356217, 0.036952258386266826, 0.012676346800907495, 0.08937927688235153, 0.037102260640568194, 0.030850453453754437, 0.0893792690366511, 0.03710226064060033, -0.03196464313974717]","[0.035034580387726375, 0.05679088880254076, 0.035001208002897674, -0.06012736931052932, 0.06186258860732574, 0.06994621006448949, -0.06739090789710048, 0.0751989506777104, 0.019928631365153677, 0.06028845298340908, 0.031028503280578455, 0.030753854537753002, -0.09016972642396691, 0.04196004928461775, 0.07451176675516934, -0.09889841666891441, 0.05798628745943352, 0.014405976546381326]","[0.03503458038772638, 0.05679088880254077, 0.035001208002897674, -0.06012736931052932, 0.06186258860732574, 0.06994621006448949, -0.06739090789710048, 0.0751989506777104, 0.019928631365153684, 0.0602884529834091, 0.031028503280578462, 0.030753854537753006, -0.09016972642396691, 0.04196004928461776, 0.07451176675516935, -0.09889841666891443, 0.05798628745943353, 0.014405976546381335]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
"[-0.06927701224120907, 0.08184825989410456, 0.02049314995853414]","[0.06986881537532375, -0.012375804038857718, 0.0527088142807241]","[0.06986881537532375, -0.012375804038857713, 0.05270881428072409]","[0.0, 0.0, 0.0]","[0.0015612736481810646, 0.07265042316291809, 0.047909679044961136]","[0.0015612736481810646, 0.0726504231629181, 0.04790967904496113]","[[-0.99934542  0.01381504  0.03343461 -0.00104526]
 [-0.01899886 -0.98692193 -0.16007541  0.07939912]
 [ 0.0307859  -0.16060585  0.98653839 -0.03564472]
 [ 0.          0.          0.          1.        ]]",CubeM,normal,[-1.41576956  0.01942674 -1.54523898],"[-0.04827329513960099, 0.012057491539671644, 0.007181325317286512, 0.0514496910805916, 0.012207492494424627, 0.02610156573353676, 0.051449564947335734, 0.012207492494941255, -0.026170565703772602, -0.07634595395720006, 0.034310781405212064, 0.013199258300460745, 0.0796719830787136, 0.03446078365951352, 0.031373364953307746, 0.07967197523301318, 0.0344607836595457, -0.031441731640193885]","[0.04979497514977101, 0.05893036012398171, 0.051450225449135065, -0.04928310775061129, 0.05712129619190798, 0.07342595649141219, -0.050892226383871336, 0.06551650460404401, 0.02185748804453904, 0.07761173863456597, 0.03561376020217798, 0.0528863443984507, -0.07774741604901075, 0.03470224519064189, 0.0760081852991209, -0.079681227578059, 0.044790717128801706, 0.014038680968570657]","[0.04979497514977101, 0.058930360123981715, 0.05145022544913506, -0.049283107750611274, 0.05712129619190799, 0.07342595649141219, -0.05089222638387133, 0.06551650460404401, 0.02185748804453904, 0.07761173863456597, 0.035613760202177984, 0.05288634439845069, -0.07774741604901073, 0.034702245190641905, 0.07600818529912089, -0.07968122757805898, 0.044790717128801706, 0.014038680968570659]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
"[-0.03858533860145924, 0.0835704625263807, 0.022047246286505826]","[0.03533839177118818, -0.014644868844047778, 0.052710196555770306]","[0.03533839177118818, -0.014644868844047795, 0.052710196555770306]","[4.336808689942018e-19, 0.0, 0.0]","[-7.299176662260362e-05, 0.0730706855118841, 0.04940156078706906]","[-7.299176662260431e-05, 0.0730706855118841, 0.04940156078706906]","[[-0.98447114  0.04881421  0.16862309 -0.01196899]
 [-0.07293518 -0.9874676  -0.13995786  0.07906375]
 [ 0.1596779  -0.15008303  0.97569363 -0.03722246]
 [ 0.          0.          0.          1.        ]]",CubeM,normal,[-1.43239905  0.0733551  -1.41748015],"[-0.04405584871041351, 0.012939587260556072, 0.0067884427120268424, 0.05566713750977909, 0.013089588215309006, 0.02570868312827706, 0.05566701137652318, 0.013089588215825579, -0.026563448309032296, -0.07212850752801256, 0.035192877126096506, 0.012806375695201063, 0.08388942950790113, 0.035342879380397874, 0.030980482348048052, 0.08388942166220066, 0.035342879380430015, -0.031834614245453585]","[0.0434389330194733, 0.057123880695953526, 0.04678517088978593, -0.05172526499944456, 0.059004051833677705, 0.0820401329558117, -0.060071845159649646, 0.06684920543551749, 0.031038526220258107, 0.07041353865759513, 0.03287594362437928, 0.04480860853057643, -0.08029055496946075, 0.03761608926942849, 0.08882820091350262, -0.09032073014815402, 0.047043568779253274, 0.027539910220846155]","[0.043438933019473304, 0.05712388069595353, 0.04678517088978594, -0.05172526499944456, 0.0590040518336777, 0.0820401329558117, -0.06007184515964964, 0.0668492054355175, 0.031038526220258107, 0.07041353865759513, 0.03287594362437928, 0.04480860853057643, -0.08029055496946076, 0.0376160892694285, 0.08882820091350262, -0.09032073014815402, 0.04704356877925327, 0.027539910220846155]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
"[0.02574515429339854, 0.07115019508156194, -0.00251946674490676]","[-0.03708851700543784, 0.009032517008451417, 0.05274453058995545]","[-0.03708851700543784, 0.00903251700845141, 0.05274453058995545]","[0.0, 0.0, 8.673617379884035e-19]","[7.723428191910159e-07, 0.07452795843143736, 0.06088349310758579]","[7.723428191899597e-07, 0.07452795843143736, 0.0608834931075858]","[[-0.98166607  0.17281559 -0.08041452 -0.00798292]
 [-0.16918235 -0.9843135  -0.05004256  0.07640577]
 [-0.08780123 -0.03552037  0.99550452 -0.05796246]
 [ 0.          0.          0.          1.        ]]",CubeM,normal,[-1.52756607  0.1708172  -1.66839052],"[-0.034036588401799836, 0.01672980980418451, 0.007965353052182666, 0.06568639781839278, 0.016879810758937422, 0.026885593468432917, 0.06568627168513688, 0.016879810759454043, -0.02538653796887647, -0.062109247219398894, 0.038983099669724935, 0.013983286035356896, 0.0939086898165148, 0.0391331019240263, 0.03215739268820389, 0.09390868197081437, 0.03913310192405847, -0.030657703905297748]","[0.029883580064815313, 0.051895595314547446, 0.07071287140730996, -0.06969768999209025, 0.06830958032626575, 0.08152137399816828, -0.06510800874246253, 0.07016628372963843, 0.029484241068749726, 0.05314831100393233, 0.024926229271247418, 0.07784758863170292, -0.10163029104797158, 0.051095361158765264, 0.0833863803194037, -0.0961150406097791, 0.053326574977840685, 0.020853668419562134]","[0.029883580064815316, 0.05189559531454744, 0.07071287140730996, -0.06969768999209025, 0.06830958032626576, 0.08152137399816829, -0.06510800874246252, 0.07016628372963843, 0.029484241068749733, 0.05314831100393234, 0.02492622927124742, 0.07784758863170291, -0.1016302910479716, 0.051095361158765264, 0.0833863803194037, -0.0961150406097791, 0.053326574977840685, 0.020853668419562144]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
"[0.04121648970973585, 0.09139779017083746, 0.02630917839009561]","[-0.04971825697831835, -0.01561685595443462, 0.05264637989801175]","[-0.04971825697831836, -0.015616855954434641, 0.052646379898011755]","[0.0, 0.0, 1.734723475976807e-18]","[0.0016778805383842622, 0.07419629767349974, 0.04659969291782802]","[0.0016778805383842617, 0.07419629767349974, 0.04659969291782801]","[[-0.99131983  0.10286267 -0.08187956 -0.00215315]
 [-0.08689029 -0.97998035 -0.1791329   0.08120424]
 [-0.09866645 -0.17046346  0.98041172 -0.03287358]
 [ 0.          0.          0.          1.        ]]",CubeM,normal,[-1.3969798   0.08715443 -1.67900639],"[-0.04089416070453184, 0.013865740589332022, 0.007777414216709643, 0.05882882551566077, 0.014015741544084921, 0.026697654632959863, 0.05882869938240488, 0.014015741544601515, -0.02557447680434949, -0.0689668195221309, 0.03611903045487246, 0.013795347199883859, 0.0870511175137828, 0.03626903270917381, 0.03196945385273084, 0.08705110966808235, 0.03626903270920592, -0.030845642740770778]","[0.040244904939039344, 0.05507589698746608, 0.05508934663289806, -0.06049229559085664, 0.061961461725127606, 0.06544682731165659, -0.05533466479704091, 0.07087193722230607, 0.014198627382057887, 0.0655465254214725, 0.029354644004987815, 0.05930167927566671, -0.09092335801324045, 0.04215804483678443, 0.0643182353966897, -0.08472560751303426, 0.05286572283828222, 0.0027335791858734025]","[0.040244904939039344, 0.05507589698746607, 0.05508934663289805, -0.06049229559085665, 0.06196146172512761, 0.06544682731165657, -0.05533466479704092, 0.07087193722230607, 0.014198627382057884, 0.06554652542147252, 0.0293546440049878, 0.059301679275666694, -0.09092335801324045, 0.04215804483678444, 0.06431823539668968, -0.08472560751303428, 0.05286572283828222, 0.0027335791858734033]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CubeM.txt,0
