obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,difficulty
"[-0.018812067251306856, 0.0019259715207254064, 0.051521848157596285]","[-0.009806564243980354, 0.06899174656842968, -0.011074409680778531]","[-1.5581551, 0.15620909, -1.51260181]",Vase1M,normal,TRUE,TRUE,easy
"[-0.035579067251306856, 0.015755971520725397, 0.051521848157596285]","[0.008865859833917477, 0.05793974913382151, -0.012337390583466876]","[-1.5581551, 0.15620909, -1.51260181]",Vase1M,normal,TRUE,TRUE,easy
"[0.04396793274869314, 0.012773971520725404, 0.051521848157596285]","[-0.05132687651464217, 0.055344738181884845, 0.010816474126082193]","[-1.47704907, 0.05074387, -1.39812302]",Vase1M,normal,TRUE,TRUE,easy
"[-0.003965067251306851, 0.013130971520725404, 0.051521848157596285]","[-0.02188420219602216, 0.05593068754142851, 0.006456481143594997]","[-1.45771901, 0.15700258, -1.50660609]",Vase1M,normal,TRUE,TRUE,easy
"[-0.07542206725130689, 0.0006669715207254054, 0.051521848157596285]","[0.026730491776067372, 0.08299752803582458, -0.008880394813322486]","[-1.53104227, 0.25652908, -1.49167437]",Vase1M,normal,FALSE,FALSE,hard
"[-0.014032067251306854, 0.0447469715207254, 0.051521848157596285]","[-0.004042888901391137, 0.026441612506253723, -0.007086970350283862]","[-1.52501069, 0.12332964, -1.39923849]",Vase1M,normal,TRUE,TRUE,easy
"[-0.009703067251306855, 0.009135971520725403, 0.051521848157596285]","[-0.005585830686582275, 0.06155193106411919, -0.004472391365152241]","[-1.51429879, 0.09028362, -1.61732436]",Vase1M,normal,TRUE,TRUE,easy
"[-0.004426067251306853, 0.0202019715207254, 0.051521848157596285]","[0.008442424463417642, 0.04992466729540379, -0.01002144377676352]","[-1.53631537, -0.03538085, -1.39207572]",Vase1M,normal,TRUE,TRUE,easy
"[-0.05617606725130685, 0.011350971520725403, 0.051521848157596285]","[0.04305551767928007, 0.06284239619434627, -0.00791055703178703]","[-1.50990668, 0.07333821, -1.47118916]",Vase1M,normal,TRUE,TRUE,easy
"[-0.035209067251306854, 0.012775971520725403, 0.051521848157596285]","[0.0029380493636998184, 0.06131161093804553, 0.006313243211954429]","[-1.4490022, 0.19304409, -1.48522804]",Vase1M,normal,TRUE,TRUE,easy
