local_obj_coords,global_obj_coords,local_to_global_obj_coords,local_wrist_coords,global_wrist_coords,local_to_global_wrist_coords,global_to_local_transf,shape,orientation,hand_orient_variation,local_finger_coords,global_finger_coords,local_to_global_finger_coords,local_coord_region,total_episode_reward,success,coords_file,coords_file_idx
"[-0.005313045519507797, 0.023352764037574462, 0.0028309430615250067]","[0.009844871067281461, 0.04850184981174794, 0.05171282052712432]","[0.009844871067281465, 0.048501849811747925, 0.05171282052712432]","[0.0, 0.0, -3.469446951953614e-18]","[0.001934706116209663, 0.0712486210064575, 0.05298087816262652]","[0.0019347061162096639, 0.0712486210064575, 0.052980878162626525]","[[-0.96721788 -0.11538638  0.22622014 -0.00189294]
 [ 0.08987855 -0.98869522 -0.12001506  0.07662779]
 [ 0.23751088 -0.09574838  0.96665445 -0.04485178]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.45506954 -0.0964246  -1.33378906],"[-0.059769057444053454, 0.011586913095426477, 0.0083482053921702, 0.03995392877613915, 0.011736914050179417, 0.027268445808420447, 0.03995380264288325, 0.011736914050696025, -0.025003685628888925, -0.08784171626165249, 0.0338402029609669, 0.014366138375344423, 0.06817622077426116, 0.03399020521526829, 0.03254024502819142, 0.06817621292856071, 0.03399020521530044, -0.03027485156531021]","[0.062768611739851, 0.06588990367333511, 0.04613913925946903, -0.029177998928235735, 0.052423341509327814, 0.08696981973998594, -0.041593076719343106, 0.0574283277681506, 0.036440702579629725, 0.09335040726928673, 0.04655117767076399, 0.04293507011035148, -0.05322290121409507, 0.02666038458573633, 0.095779548733304, -0.06814216231735984, 0.03267482899023057, 0.035059054115021616]","[0.06276861173985102, 0.0658899036733351, 0.04613913925946903, -0.029177998928235742, 0.0524233415093278, 0.08696981973998595, -0.041593076719343106, 0.05742832776815058, 0.036440702579629725, 0.09335040726928673, 0.046551177670764, 0.04293507011035148, -0.053222901214095064, 0.02666038458573633, 0.09577954873330402, -0.06814216231735985, 0.03267482899023055, 0.03505905411502162]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[-0.016919169597374065, 0.04944768569764628, 0.04061111469917045]","[0.014738932751009222, 0.0170959715413867, 0.051521848178442256]","[0.01473893275100922, 0.017095971541386687, 0.051521848178442256]","[8.673617379884035e-19, 0.0, 0.0]","[-0.0008561850091988697, 0.077971430844843, 0.030747698028181603]","[-0.0008561850091988698, 0.077971430844843, 0.030747698028181607]","[[-0.99110245  0.06387844  0.11677104 -0.0094197 ]
 [-0.09784321 -0.94443124 -0.3138094   0.0832038 ]
 [ 0.09023657 -0.32244252  0.94227819 -0.00375432]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.25381374  0.09807294 -1.48104743],"[-0.04218612283197114, 0.01345629351813693, 0.007046506759976687, 0.05753686338822147, 0.013606294472889927, 0.025966747176226913, 0.057536737254965595, 0.0136062944734065, -0.026305384261082455, -0.07025878164957021, 0.035709583383677364, 0.013064439743150908, 0.08575915538634349, 0.035859585637978836, 0.03123854639599788, 0.08575914754064307, 0.035859585638010935, -0.03157655019750375]","[0.040273830354113124, 0.060296009778738134, 0.02823863870077954, -0.056869244716543865, 0.06042380307093562, 0.05766445411954119, -0.061585977431906136, 0.07727855254676741, 0.008409550022446095, 0.06646241561455288, 0.03554563251277498, 0.023647840560125172, -0.08654205185799728, 0.03951004346038399, 0.058944210196781935, -0.09221026279727704, 0.0597643006949239, -0.0002450862061650996]","[0.04027383035411313, 0.06029600977873814, 0.028238638700779545, -0.056869244716543865, 0.06042380307093562, 0.0576644541195412, -0.061585977431906136, 0.07727855254676741, 0.008409550022446102, 0.06646241561455288, 0.035545632512774976, 0.02364784056012518, -0.08654205185799728, 0.03951004346038398, 0.058944210196781935, -0.09221026279727704, 0.0597643006949239, -0.0002450862061650957]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[0.040651558966099885, 0.05771775820594807, -0.0015374137378595283]","[-0.03321150457771125, 0.0101148647911974, 0.05405613779377297]","[-0.03321150457771126, 0.010114864791197407, 0.05405613779377296]","[0.0, 0.0, 8.673617379884035e-19]","[0.0025512947610382636, 0.07097716055281847, 0.05580417605915493]","[0.002551294761038261, 0.07097716055281848, 0.05580417605915492]","[[-0.98828737 -0.09073145  0.12270237  0.00211397]
 [ 0.07991469 -0.99269573 -0.09038163  0.07529851]
 [ 0.13000658 -0.0795173   0.98831943 -0.04984012]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.48450293 -0.08891955 -1.4459881 ],"[-0.05809432472836909, 0.011475572751227271, 0.007698339810907389, 0.041628661491823524, 0.011625573705980254, 0.0266185802271576, 0.04162853535856763, 0.011625573706496847, -0.025653551210151757, -0.08616698354596816, 0.033728862616767684, 0.013716272794081608, 0.06985095348994554, 0.03387886487106914, 0.03189037944692857, 0.06985094564424511, 0.03387886487110128, -0.030924717146573064]","[0.06188308402469562, 0.06424423969476944, 0.05524710250000033, -0.03420014113216976, 0.05354283672114434, 0.08616903316771674, -0.040995737273900976, 0.057699386988005724, 0.034507454717452576, 0.09218767397404976, 0.04422203724573671, 0.0557388721722191, -0.059628142440741265, 0.028472240969547966, 0.09283090816131924, -0.06779451027925854, 0.0334671286410112, 0.030749526946606417]","[0.06188308402469562, 0.06424423969476944, 0.055247102500000325, -0.034200141132169765, 0.05354283672114435, 0.08616903316771674, -0.040995737273900976, 0.05769938698800574, 0.03450745471745257, 0.09218767397404977, 0.044222037245736714, 0.05573887217221909, -0.05962814244074127, 0.028472240969547973, 0.09283090816131923, -0.06779451027925854, 0.0334671286410112, 0.03074952694660641]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[-0.014015650156288495, 0.03192865988134287, 0.01700840954036379]","[0.008885932751009223, 0.0398529715413867, 0.051521848178442256]","[0.008885932751009221, 0.03985297154138671, 0.05152184817844226]","[0.0, 0.0, 0.0]","[0.00012451425235638323, 0.07643552797572131, 0.04202880457615801]","[0.00012451425235638107, 0.0764355279757213, 0.04202880457615801]","[[-0.98858876  0.14998887  0.01398559 -0.01192918]
 [-0.14943813 -0.96476704 -0.21654748  0.08286232]
 [-0.01898687 -0.21616638  0.97617191 -0.02450218]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.35439911  0.15087957 -1.5937819 ],"[-0.035917895955932595, 0.015815296567956293, 0.007644998701838102, 0.06380509026426001, 0.015965297522709296, 0.026565239118088325, 0.06380496413100412, 0.015965297523225883, -0.025706892319221023, -0.06399055477353167, 0.03806858643349671, 0.01366293168501231, 0.09202738226238201, 0.0382185886877982, 0.0318370383378593, 0.09202737441668159, 0.038218588687830325, -0.030978058255642323]","[0.033123979626325364, 0.05413757497948189, 0.04556454181108316, -0.06584269601521556, 0.06486027660551885, 0.06539615194916511, -0.0648500871777733, 0.07615973536381744, 0.014369563933890224, 0.05743654290760934, 0.027156873402457187, 0.04622757229617545, -0.09716852200263344, 0.046484478622003056, 0.06611814571236117, -0.0959758521981914, 0.06006298978522716, 0.004799812944919017]","[0.03312397962632535, 0.05413757497948189, 0.045564541811083166, -0.06584269601521556, 0.06486027660551884, 0.06539615194916512, -0.0648500871777733, 0.07615973536381743, 0.014369563933890224, 0.05743654290760935, 0.027156873402457204, 0.046227572296175454, -0.09716852200263344, 0.046484478622003056, 0.06611814571236119, -0.09597585219819141, 0.06006298978522716, 0.004799812944919015]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[0.02841907207997634, 0.04498300645241035, 0.006000887150037836]","[-0.021476490951048442, 0.02374654764515487, 0.05210482268722838]","[-0.021476490951048442, 0.02374654764515488, 0.05210482268722838]","[0.0, 0.0, 0.0]","[0.0021371448019927393, 0.07172509520467818, 0.04935157831499621]","[0.002137144801992739, 0.07172509520467817, 0.0493515783149962]","[[-0.98693792 -0.09930737  0.12685266  0.00297168]
 [ 0.07991469 -0.98548976 -0.149745    0.07790371]
 [ 0.13988278 -0.13765163  0.98055333 -0.03881773]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.42717157 -0.08621138 -1.4393028 ],"[-0.05850884857743112, 0.011495480914383321, 0.007748653999280597, 0.04121413764276147, 0.011645481869136325, 0.026668894415530824, 0.04121401150950558, 0.011645481869652925, -0.025603237021778524, -0.08658150739503018, 0.033748770779923734, 0.013766586982454813, 0.06943642964088349, 0.03389877303422523, 0.031940693635301796, 0.06943642179518306, 0.033898773034257354, -0.03087440295819982]","[0.061884306969721775, 0.06514016129967656, 0.04780615265190835, -0.03387748595745011, 0.052484707696570126, 0.07898612198866249, -0.04118933275094661, 0.059680064368074964, 0.027730493382103392, 0.0922104484061839, 0.045169215475811306, 0.046813646332031326, -0.05921533707753368, 0.027025963749368602, 0.08440315600797349, -0.0680020799328524, 0.0356725650234196, 0.022809602802681905]","[0.061884306969721775, 0.06514016129967656, 0.04780615265190835, -0.033877485957450104, 0.052484707696570126, 0.07898612198866249, -0.041189332750946606, 0.059680064368074964, 0.027730493382103392, 0.09221044840618389, 0.04516921547581132, 0.04681364633203133, -0.05921533707753369, 0.02702596374936861, 0.08440315600797349, -0.0680020799328524, 0.03567256502341962, 0.022809602802681905]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[0.04907429905989053, 0.05973165719299142, 0.00303362410821379]","[-0.04395862185957372, 0.009098670699095179, 0.05471129214864783]","[-0.04395862185957373, 0.009098670699095195, 0.054711292148647825]","[0.0, 0.0, -3.469446951953614e-18]","[0.0017771976492697377, 0.07145140858568338, 0.052317244034788365]","[0.0017771976492697353, 0.07145140858568338, 0.05231724403478836]","[[-0.98931258 -0.05621545  0.13453787 -0.00126377]
 [ 0.03998933 -0.99191893 -0.12040638  0.07710227]
 [ 0.14021936 -0.11373947  0.98356589 -0.04357981]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.45126103 -0.04861878 -1.43171783],"[-0.05448514494537104, 0.011455533049694294, 0.007487783773100969, 0.045237841274821555, 0.011605534004447277, 0.026408024189351183, 0.045237715141565694, 0.011605534004963877, -0.025864107247958176, -0.08255780376297012, 0.033708822915234714, 0.013505716756275184, 0.07346013327294358, 0.03385882516953616, 0.03167982340912216, 0.07346012542724316, 0.033858825169568306, -0.031135273184379468]","[0.0571880684462832, 0.06229969895705325, 0.05097233831565336, -0.03881015420938072, 0.054392959545117824, 0.08298009826840824, -0.04613959400646016, 0.06033837100391229, 0.03156699565961912, 0.08669442796270095, 0.04111988022563093, 0.05043509822867242, -0.06510172019807733, 0.030133358377233698, 0.08928278891259106, -0.07390960479811924, 0.03727791442439258, 0.027500001278717247]","[0.0571880684462832, 0.06229969895705326, 0.05097233831565335, -0.03881015420938072, 0.05439295954511783, 0.08298009826840823, -0.04613959400646016, 0.060338371003912296, 0.03156699565961911, 0.08669442796270097, 0.04111988022563094, 0.05043509822867241, -0.06510172019807733, 0.030133358377233715, 0.08928278891259106, -0.07390960479811925, 0.03727791442439259, 0.02750000127871724]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[-0.008316439441046304, 0.054231599519448954, 0.026167893303584197]","[0.014665932751009221, 0.015523971541386706, 0.051521848178442256]","[0.01466593275100922, 0.01552397154138671, 0.05152184817844224]","[0.0, -1.3877787807814457e-17, 0.0]","[0.002076837129927558, 0.07375338505915313, 0.03944549673512643]","[0.0020768371299275555, 0.07375338505915315, 0.03944549673512642]","[[-0.99690504 -0.06293705  0.04710907  0.00485399]
 [ 0.04997917 -0.9699347  -0.23817802  0.08082722]
 [ 0.06068295 -0.2350864   0.97007833 -0.02105283]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.33578891 -0.05952134 -1.5105854 ],"[-0.055295113958371174, 0.011435382661713712, 0.0072902263270302, 0.044427872261821405, 0.011585383616466709, 0.026210466743280425, 0.044427746128565544, 0.011585383616983289, -0.026061664694028937, -0.08336777277597024, 0.03368867252725413, 0.013308159310204432, 0.07265016425994342, 0.03383867478155559, 0.0314822659630514, 0.07265015641424301, 0.03383867478158772, -0.031332830630450226]","[0.05821473837712159, 0.06442808917011444, 0.04118902887723627, -0.04004397647447079, 0.053558435962055034, 0.06420527473136811, -0.0432158777883819, 0.06584691094599213, 0.013497206836414585, 0.08767790034764904, 0.043195927493661065, 0.04040417375527235, -0.06674681233293293, 0.02895864058754367, 0.06534861412422596, -0.07055860977929783, 0.043725615820126115, 0.00441304977335461]","[0.05821473837712159, 0.06442808917011444, 0.04118902887723626, -0.04004397647447079, 0.05355843596205502, 0.0642052747313681, -0.04321587778838191, 0.06584691094599211, 0.013497206836414578, 0.08767790034764904, 0.04319592749366106, 0.040404173755272346, -0.06674681233293293, 0.028958640587543674, 0.06534861412422595, -0.07055860977929784, 0.04372561582012611, 0.004413049773354603]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[-0.014494497607499119, 0.024196808720734465, 0.022006526586549967]","[0.012518932751009222, 0.0460429715413867, 0.051521848178442256]","[0.012518932751009222, 0.04604297154138669, 0.05152184817844226]","[-8.673617379884035e-19, 0.0, 0.0]","[7.592751995355237e-05, 0.07643338730125263, 0.03732827652333891]","[7.59275199535535e-05, 0.07643338730125263, 0.037328276523338914]","[[-0.99359402  0.09711633  0.05778698 -0.00950458]
 [-0.10878429 -0.96045101 -0.25631979  0.08298676]
 [ 0.03060872 -0.26096413  0.96486311 -0.01607263]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.31768331  0.10908661 -1.54258661],"[-0.04014573687030042, 0.014115515196461759, 0.007271363481772314, 0.05957724934989218, 0.0142655161512147, 0.02619160389802254, 0.05957712321663629, 0.0142655161517313, -0.02608052753928683, -0.06821839568789947, 0.0363688050620022, 0.013289296464946546, 0.0877995413480142, 0.03651880731630357, 0.03146340311779351, 0.08779953350231376, 0.03651880731633571, -0.03135169347570812]","[0.03865151261370321, 0.05707975492191984, 0.03840616028586375, -0.05986984387921078, 0.06168291249987888, 0.06238584405101158, -0.06146970176936715, 0.07532405140480677, 0.011950385203857, 0.06430773155724492, 0.03140978203566227, 0.03688644917551558, -0.09017078998430546, 0.04167481138233085, 0.06339933066916817, -0.09209347210903485, 0.05806729747497896, 0.002791360457317439]","[0.03865151261370322, 0.05707975492191984, 0.03840616028586375, -0.05986984387921078, 0.06168291249987888, 0.06238584405101159, -0.061469701769367155, 0.07532405140480677, 0.011950385203857005, 0.06430773155724492, 0.031409782035662255, 0.03688644917551559, -0.09017078998430547, 0.041674811382330854, 0.06339933066916818, -0.09209347210903485, 0.05806729747497896, 0.0027913604573174414]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[-0.029810736171015224, 0.048427264757299, 0.03408930885745491]","[0.034027932751009224, 0.020111971541386702, 0.051521848178442256]","[0.034027932751009224, 0.020111971541386692, 0.05152184817844224]","[0.0, 0.0, 0.0]","[0.00011689103236956454, 0.0749469234448963, 0.036058011636146796]","[0.0001168910323695635, 0.0749469234448963, 0.03605801163614679]","[[-0.99007288 -0.02990643  0.13733646 -0.00259495]
 [-0.00799991 -0.96352735 -0.26749027  0.08185951]
 [ 0.14032712 -0.26593354  0.95372305 -0.01447486]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.30187861  0.008834   -1.43988444],"[-0.050897674636537535, 0.011703977681805151, 0.007246078739780681, 0.04882531158365507, 0.011853978636558155, 0.026166319156030925, 0.04882518545039917, 0.0118539786370747, -0.026105812281278437, -0.0789703334541366, 0.03395726754734557, 0.013264011722954893, 0.07704760358177709, 0.034107269801647036, 0.03143811837580191, 0.07704759573607661, 0.03410726980167915, -0.03137697821769972]","[0.05143248870430822, 0.06326501344102403, 0.03284795738126506, -0.04464671241894047, 0.05510659792662871, 0.06454810479702106, -0.0519817849508816, 0.0690075146499561, 0.014694950932721402, 0.0798929215447555, 0.04106254290828204, 0.028779460718346903, -0.0720270863112197, 0.0314189668605421, 0.06749935204437686, -0.08084173984310508, 0.04812360809188391, 0.007591145557318863]","[0.05143248870430822, 0.06326501344102403, 0.03284795738126505, -0.04464671241894047, 0.05510659792662871, 0.06454810479702104, -0.051981784950881606, 0.06900751464995611, 0.014694950932721398, 0.07989292154475548, 0.04106254290828204, 0.0287794607183469, -0.07202708631121972, 0.031418966860542116, 0.06749935204437685, -0.08084173984310508, 0.048123608091883915, 0.0075911455573188565]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
"[0.007600155183375435, 0.026443643340712912, 0.014287790262763252]","[-0.011672687211583753, 0.048838638092516436, 0.05152913328495579]","[-0.011672687211583757, 0.048838638092516415, 0.051529133284955786]","[0.0, -1.3877787807814457e-17, 0.0]","[-0.0008275369974553824, 0.07640070781780958, 0.04237027899929311]","[-0.0008275369974553809, 0.07640070781780958, 0.04237027899929311]","[[-0.98540335  0.1427907   0.0926879  -0.01565198]
 [-0.15931821 -0.96537461 -0.20656612  0.08237573]
 [ 0.05998283 -0.21831782  0.97403254 -0.02454076]
 [ 0.          0.          0.          1.        ]]",Vase1M,normal,[-1.36099544  0.16013076 -1.51047508],"[-0.03578923308328244, 0.01587212294149222, 0.007079252010421748, 0.06393375313691016, 0.01602212389624516, 0.025999492426671968, 0.06393362700365429, 0.016022123896761747, -0.026272639010637394, -0.06386189190088151, 0.03812541280703266, 0.013097184993595964, 0.09215604513503219, 0.03827541506133404, 0.031271291646442954, 0.09215603728933176, 0.03827541506136618, -0.03154380494705869]","[0.03233520868742261, 0.05442226681873449, 0.042669829123151155, -0.06482116479532277, 0.06438634894587199, 0.07031088802856955, -0.06795647062857223, 0.07579826856703512, 0.019396119317444487, 0.05681371922671893, 0.027617169137663954, 0.04133272015044569, -0.09586064301106392, 0.04578253963655437, 0.07346488098926862, -0.09962846224174081, 0.059496193287564, 0.012280932098762264]","[0.03233520868742261, 0.054422266818734494, 0.04266982912315115, -0.06482116479532277, 0.06438634894587199, 0.07031088802856954, -0.06795647062857221, 0.0757982685670351, 0.019396119317444484, 0.056813719226718934, 0.027617169137663947, 0.04133272015044568, -0.09586064301106392, 0.04578253963655436, 0.07346488098926862, -0.09962846224174081, 0.05949619328756399, 0.012280932098762257]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/Vase1M.txt,0
