0, True, Normal, -0.04449223, -0.0428243, -0.06776018, CubeS, 0.015439, 0.040576, 0.065400, Policy
1, True, Normal, 0.01132333, -0.15193091, -0.03277079, CubeB, -0.016718, 0.025721, 0.065400, Policy
2, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.050000, Policy
3, True, Normal, -0.06951842, -0.10425957, -0.0555334, CylinderS, -0.013921, 0.012993, 0.065400, Policy
4, True, Normal, 0.10935547, -0.01264694, 0.08096141, CubeB, 0.028756, 0.009559, 0.065400, Policy
5, True, Normal, -0.09776861, -0.01723279, -0.17906318, CylinderS, -0.024661, 0.033644, 0.065400, Policy
6, True, Normal, -0.18069213, 0.12123543, -0.14248123, CubeS, 0.004868, 0.029410, 0.065400, Policy
7, True, Top, -1.61967575, -0.16599467, -1.66804082, Cone1S, 0.039251, 0.004905, 0.050000, Policy
8, True, Normal, -0.23116718, -0.06925676, -0.25173455, CylinderS, -0.002334, 0.048227, 0.065400, Policy
9, True, Top, -1.51017245, 0.00257278, -1.57756357, Cone1S, -0.027226, -0.020349, 0.050000, Policy
10, True, Normal, -0.13369676, -0.2564465, -0.11920353, CubeB, 0.012275, 0.012805, 0.065400, Policy
11, True, Normal, -0.19104286, -0.1668134, 0.05060447, CubeS, -0.060201, 0.012490, 0.065400, Policy
12, True, Top, -1.68379278, -0.158577, -1.46941567, Cone1S, -0.022395, 0.002273, 0.050000, Policy
13, True, Normal, -0.15218648, -0.13170238, 0.04460066, CubeS, -0.012592, 0.005102, 0.065400, Policy
14, True, Normal, 0.00479165, -0.28043148, -0.19016741, CylinderS, 0.014962, 0.026053, 0.065400, Policy
15, True, Normal, -0.00103539, -0.05736717, -0.12305545, CubeB, -0.004626, 0.004173, 0.065400, Policy
16, True, Normal, -0.16616181, -0.02414532, -0.08760718, CubeS, 0.062121, 0.011672, 0.065400, Policy
17, True, Normal, -0.03870813, -0.10687952, -0.1675701, CubeB, 0.029116, 0.002970, 0.065400, Policy
18, True, Top, -1.7851808, 0.02696686, -1.65177552, Cone1S, -0.032197, 0.029245, 0.050000, Policy
19, True, Normal, -0.05335908, -0.15138765, 0.01010327, CylinderS, 0.008614, 0.019098, 0.065400, Policy
20, True, Normal, -0.12823349, -0.01439239, -0.17258779, CubeB, -0.007392, 0.030267, 0.065400, Policy
21, True, Normal, -0.08731627, 0.05115252, 0.0724196, CylinderS, -0.011948, 0.035821, 0.065400, Policy
22, True, Normal, -0.19907297, -0.17653159, 0.0615459, CubeS, -0.042165, 0.021867, 0.065400, Policy
23, True, Top, -1.60099615, -0.28107922, -1.68062582, Cone1S, -0.040757, -0.059133, 0.050000, Policy
24, True, Normal, -0.01003104, -0.11806677, -0.10802196, CylinderS, 0.046711, 0.006760, 0.065400, Policy
25, True, Top, -1.69161804, 0.10912176, -1.65724251, Cone1S, -0.018772, -0.009112, 0.050000, Policy
26, True, Normal, -0.07735105, -0.20219896, -0.18408287, CubeB, -0.058693, 0.012137, 0.065400, Policy
27, True, Normal, -0.20058551, -0.0553919, -0.06096397, CubeS, 0.006889, 0.004984, 0.065400, Policy
28, True, Top, -1.66874417, -0.03273186, -1.59935726, Cone1S, 0.022274, 0.021829, 0.050000, Policy
29, True, Normal, 0.02327634, -0.0897683, -0.06936103, CubeS, -0.065572, 0.000092, 0.065400, Policy
30, True, Normal, -0.08114492, -0.02591521, -0.1656853, CylinderS, -0.049181, 0.003427, 0.065400, Policy
31, True, Normal, 0.12100788, -0.0775293, -0.0305974, CubeB, 0.020476, 0.020439, 0.065400, Policy
32, True, Normal, -0.21505703, -0.1417335, 0.09159395, CubeS, 0.005536, 0.027158, 0.065400, Policy
33, True, Normal, -0.24391983, -0.2029754, -0.19096303, CubeB, -0.010936, 0.001084, 0.065400, Policy
34, True, Top, -1.69849209, -0.15359381, -1.6756108, Cone1S, 0.004780, 0.001269, 0.050000, Policy
35, True, Normal, 0.06807629, -0.13718241, -0.11194537, CylinderS, -0.024628, 0.005300, 0.065400, Policy
36, True, Normal, -0.15026459, -0.04477789, -0.09423246, CubeB, -0.012346, 0.038351, 0.065400, Policy
37, True, Normal, -0.15935633, -0.06113928, -0.08082564, CylinderS, 0.039896, 0.011235, 0.065400, Policy
38, True, Normal, -0.07749227, -0.04507021, -0.11057908, CubeS, -0.038902, 0.016931, 0.065400, Policy
39, True, Top, -1.45890763, 0.01242661, -1.83169959, Cone1S, -0.042132, -0.007553, 0.050000, Policy
40, True, Normal, -0.05145828, -0.10669653, -0.07097345, CylinderS, -0.014076, 0.014028, 0.065400, Policy
41, True, Top, -1.73988467, -0.05552657, -1.76649355, Cone1S, -0.038655, 0.010012, 0.050000, Policy
42, True, Normal, -0.1528635, -0.11675563, -0.12278828, CubeB, 0.026644, 0.012469, 0.065400, Policy
43, True, Normal, -0.02741835, 0.14853579, -0.15445974, CubeS, 0.073016, 0.002105, 0.065400, Policy
44, True, Top, -1.6699999, -0.07223873, -1.5768061, Cone1S, -0.016783, -0.041283, 0.050000, Policy
45, True, Normal, 0.00880491, -0.07538909, 0.11581313, CubeS, 0.022211, 0.013621, 0.065400, Policy
46, True, Normal, -0.12078998, -0.0735115, -0.05837642, CylinderS, -0.026618, 0.036278, 0.065400, Policy
47, True, Normal, -0.06335567, -0.08763205, -0.19755356, CubeB, -0.052621, 0.002282, 0.065400, Policy
48, True, Normal, -0.13774902, -0.08705465, -0.09234754, CubeS, 0.024992, 0.032649, 0.065400, Policy
49, True, Normal, 0.01183359, -0.14420778, -0.04134482, CubeB, 0.027068, 0.013330, 0.065400, Policy
50, True, Top, -1.60387238, -0.14180289, -1.66998699, Cone1S, -0.014471, 0.018060, 0.050000, Policy
51, True, Normal, -0.21237414, 0.13784129, -0.16049275, CylinderS, -0.025565, 0.022681, 0.065400, Policy
52, True, Normal, -0.26174882, -0.12636332, -0.00888078, CubeB, -0.019796, 0.013365, 0.065400, Policy
53, True, Normal, -0.09600629, 0.01739462, -0.14329378, CylinderS, 0.006403, 0.004302, 0.065400, Policy
54, True, Normal, -0.06886547, -0.10885722, 0.00110111, CubeS, -0.006099, 0.021192, 0.065400, Policy
55, True, Top, -1.72132487, 0.00192982, -1.72029666, Cone1S, -0.041333, -0.020678, 0.050000, Policy
56, True, Normal, 0.00098566, -0.07268558, -0.02438471, CylinderS, 0.012597, 0.027278, 0.065400, Policy
57, True, Top, -1.71930969, -0.16810813, -1.60393741, Cone1S, 0.006907, 0.014708, 0.050000, Policy
58, True, Normal, 0.01802005, -0.09144769, -0.00370881, CubeB, -0.011480, 0.033742, 0.065400, Policy
59, True, Normal, -0.02344904, -0.0519064, 0.00379109, CubeS, 0.056690, 0.011610, 0.065400, Policy
60, True, Top, -1.70139371, -0.0804278, -1.83281977, Cone1S, 0.014811, -0.007001, 0.050000, Policy
61, True, Normal, -0.06279289, -0.09904776, 0.04570049, CubeS, 0.025522, 0.017737, 0.065400, Policy
62, True, Normal, -0.11385562, -0.1528469, -0.10987964, CylinderS, -0.002294, 0.047235, 0.065400, Policy
63, True, Normal, -0.13740697, 0.03032767, -0.05492079, CubeB, 0.013278, 0.017626, 0.065400, Policy
64, True, Normal, -0.00725625, -0.11523578, -0.19002593, CubeS, 0.023678, 0.028463, 0.065400, Policy
65, True, Normal, 0.0474084, -0.05597613, -0.12804733, CubeB, -0.029965, 0.011304, 0.065400, Policy
66, True, Top, -1.64887591, -0.01632798, -1.66799296, Cone1S, -0.035148, -0.054262, 0.050000, Policy
67, True, Normal, 0.04258357, 0.07761916, 0.02232948, CylinderS, -0.015219, 0.017685, 0.065400, Policy
68, True, Normal, -0.2852489, -0.13134654, 0.03033794, CubeB, -0.027977, 0.007394, 0.065400, Policy
69, True, Normal, -0.06283221, -0.05780268, 0.08093402, CylinderS, 0.055166, 0.012639, 0.065400, Policy
70, True, Normal, -0.08232734, -0.02243415, -0.1425794, CubeS, 0.028218, 0.000113, 0.065400, Policy
71, True, Top, -1.51016277, 0.1318347, -1.6960867, Cone1S, -0.013131, -0.008016, 0.050000, Policy
72, True, Normal, -0.09916014, -0.03296062, -0.08164722, CylinderS, 0.050679, 0.008625, 0.065400, Policy
73, True, Top, -1.49487804, -0.15046003, -1.63202632, Cone1S, -0.027925, -0.001167, 0.050000, Policy
74, True, Normal, -0.05570189, -0.11126941, -0.16933892, CubeB, -0.012248, 0.006358, 0.065400, Policy
75, True, Normal, -0.03493409, -0.15117013, -0.01342588, CubeS, -0.025624, 0.005344, 0.065400, Policy
76, True, Top, -1.73192739, -0.04061479, -1.58500686, Cone1S, -0.028892, -0.046406, 0.050000, Policy
77, True, Normal, -0.17427018, -0.16340256, -0.17225841, CubeS, -0.007498, 0.037941, 0.065400, Policy
