obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,difficulty
"[-0.03681953585849906, 0.004850228055835347, 0.05259972270486953]","[0.036809442053529526, 0.06515990961246267, -0.012690113160337375]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.031774189294518945, 0.011893469856383069, 0.05259972270486953]","[0.03176409262289339, 0.0581166700451027, -0.012691704135901151]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.03456713000132535, 0.018754855730337673, 0.05259972270486953]","[0.03455702809309383, 0.05125528634667513, -0.012699392132299122]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.03788057896128306, 0.015653702557753488, 0.05259972270486953]","[0.03787047796901594, 0.05435643853598236, -0.012699561189888194]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.03881557081963544, -0.00936987002426355, 0.05259972270486953]","[0.038805485399266156, 0.07938000318382116, -0.012680378815952489]",[-1.57  0.   -1.57],CubeM,normal,FALSE,FALSE,hard
"[-0.04630391321125163, 0.010063430674604426, 0.05259972270486953]","[0.04629381309320731, 0.05994670864663417, -0.012701817234535553]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.04805749267577271, -0.004083750526572031, 0.05259972270486953]","[0.048047400972964324, 0.07409388536218985, -0.012691947882002487]",[-1.57  0.   -1.57],CubeM,normal,FALSE,FALSE,hard
"[-0.04310173576794458, -0.0006157442374485503, 0.05259972270486954]","[0.04309164343726051, 0.07062588017266075, -0.012690763145570258]",[-1.57  0.   -1.57],CubeM,normal,TRUE,FALSE,med
"[-0.035554408988715015, 0.0174937625165972, 0.05259972270486953]","[0.035544307567153655, 0.05251637916056309, -0.012699174087035314]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.041982568604668556, -0.00475557086647387, 0.05259972270486953]","[0.04197247925405082, 0.07476570548907883, -0.01268657526938714]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.03991829943576013, 0.0159367118357302, 0.052604543806042126]","[0.0399082014571007, 0.05407342550856724, -0.01269658815079165]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.044665415886750034, 0.014808511524520675, 0.05260209626982676]","[0.04465531516932595, 0.05520162741109883, -0.012701917525325816]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.03636648618275861, 0.01758457135690593, 0.05259972270486953]","[0.03635638444612825, 0.05242557034904695, -0.012699893079278287]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.038456717675506936, -0.0022596070825995347, 0.05259972270486953]","[0.03844662786004322, 0.07226974249659517, -0.012685755142114102]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.034538094048801427, 0.019849875599698027, 0.052602877180422086]","[0.03452799396737685, 0.05016026431251758, -0.01269708652993664]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.031366410552932385, 0.012256163499095172, 0.05259972270486953]","[0.0313563137806033, 0.057753976517389206, -0.012691668233341084]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.027639068904437535, 0.021742500439173668, 0.05259972270486953]","[0.02762896729829988, 0.04826764258512616, -0.012696254272723554]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.029480756685546065, 0.009556253393198313, 0.05259972270486953]","[0.02947066222320861, 0.06045388576723052, -0.012688016626947084]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.035099753261899284, 0.006010659944062474, 0.05259972270486953]","[0.03508965926634616, 0.06399947809217155, -0.012689667734134632]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.03368957512457923, -0.007773797607066767, 0.05259972270486953]","[0.03367949031737265, 0.07778393127268812, -0.012677567843356496]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.033343275629237244, 0.0018469143661277035, 0.05259972270486953]","[0.03333318483098919, 0.06816322234991515, -0.012684953303309834]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.04508746649067475, 0.013387681903379583, 0.05260377369717968]","[0.04507736787621118, 0.05662245524595987, -0.012699444744985829]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.04183998010874045, 0.006626674025005616, 0.05259972270486953]","[0.04182988358543912, 0.06338346420654686, -0.012695525705120479]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.03259355831534045, -0.0001255440492320395, 0.05259972270486953]","[0.03258346900561123, 0.07013568013987112, -0.012682785562563343]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.043845912629084, -0.0011286049953444406, 0.05259972270486954]","[0.043835820387668735, 0.07113874076794482, -0.012690947348891386]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.028031970396801144, -0.0033201918471958327, 0.05259972270486953]","[0.028021884559248148, 0.0733303269249138, -0.012676609065694166]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.03632589703399094, -0.009676904449915516, 0.05259972270486953]","[0.036315812597719606, 0.07968703751212228, -0.01267815172257923]",[-1.57  0.   -1.57],CubeM,normal,TRUE,FALSE,med
"[-0.047836836732404034, 0.0029825540388947846, 0.05259972270486953]","[0.04782674061855889, 0.06702758303722325, -0.012697399253068386]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.027095528053838427, 0.009255104575830063, 0.05259972270486953]","[0.027085434538750414, 0.06075503448911407, -0.01268587739290531]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.03397851653186816, 0.01569554816205499, 0.05259972270486953]","[0.033968416750285, 0.054314592944948774, -0.012696487196110568]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.02703930401866259, 0.007874967454100233, 0.05259972270486953]","[0.027029211396596378, 0.06213517117324635, -0.012684733580498278]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.05343641777008868, -0.002985144025551554, 0.05259972270486954]","[0.05342632366512821, 0.07299527920950251, -0.012697106113154078]",[-1.57  0.   -1.57],CubeM,normal,FALSE,FALSE,hard
"[-0.03461780319454274, -0.000590222589708007, 0.05259972270486953]","[0.03460771353765941, 0.07060035853301232, -0.012684027487013359]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.05360475213759177, 0.00905430877499531, 0.052603065500187535]","[0.053594653006560966, 0.06095582756432566, -0.01270348470391689]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.033514470951476215, 0.005234343722954383, 0.05259972270486953]","[0.03350437795085589, 0.06477579406713448, -0.012687787130339957]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.051762301781693165, -0.005335817933232402, 0.05259972270486953]","[0.05175220969818906, 0.0753459523718595, -0.012693901066048272]",[-1.57  0.   -1.57],CubeM,normal,FALSE,FALSE,hard
"[-0.051346260626967226, 0.00031889988325867023, 0.05259972270486953]","[0.051336165089515086, 0.06969123634829942, -0.01269807276277517]",[-1.57  0.   -1.57],CubeM,normal,FALSE,FALSE,hard
"[-0.037915526268833315, -0.005899444744594179, 0.05259972270486953]","[0.037905438933117104, 0.07590957900451316, -0.01268242567790739]",[-1.57  0.   -1.57],CubeM,normal,TRUE,FALSE,med
"[-0.039606520746141544, 0.012325289460584098, 0.05259972270486953]","[0.03959642131730057, 0.057684850577817914, -0.012698285100019408]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
"[-0.034131245771462475, 0.010527834487147569, 0.05259972270486953]","[0.03412114921848821, 0.0594823049813387, -0.012692493631355613]",[-1.57  0.   -1.57],CubeM,normal,TRUE,TRUE,easy
