obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,difficulty
"[-0.0062881610369346, 0.029337707590367697, 0.04792117939278757]","[-0.0046249024631079445, 0.041402489927031, -0.01000364005115588]","[-1.52253275, 0.06925495, -1.52861008]",CubeS,normal,TRUE,TRUE,easy
"[0.04073695783784768, 0.0020964488966561043, 0.04791642738181002]","[-0.05332155921492854, 0.06529291056982654, -0.006637421743858535]","[-1.52253275, 0.06925495, -1.52861008]",CubeS,normal,TRUE,FALSE,med
"[-0.0017139645774684276, 0.03126696457736166, 0.04795333434656681]","[-0.020356235339774632, 0.03830150881212362, 0.004596282178741182]","[-1.40684954, 0.14310634, -1.69397088]",CubeS,normal,TRUE,TRUE,easy
"[0.04067403542253152, 0.019397964577361794, 0.0479533343465672]","[-0.03035543628538765, 0.05286826925050533, 0.017442804852976404]","[-1.3871116, -0.04846331, -1.40462044]",CubeS,normal,TRUE,TRUE,easy
"[-0.01689308280897596, 0.02628614252669559, 0.047903170579377506]","[0.00327487787063239, 0.04535645644943047, 0.008550548537800615]","[-1.40167597, 0.08915443, -1.54727982]",CubeS,normal,TRUE,TRUE,easy
"[-0.02407896457746852, 0.01383796457736175, 0.0479533343465671]","[0.01455739867574416, 0.05741508119763965, 0.015946078662885]","[-1.3659463, 0.06241636, -1.51604271]",CubeS,normal,TRUE,TRUE,easy
"[-0.004349964577468568, 0.024691964577361794, 0.04795333434656724]","[-0.008346292693327154, 0.04492756723904557, -0.019279069187999487]","[-1.58690613, 0.07059592, -1.48154302]",CubeS,normal,TRUE,TRUE,easy
"[0.04052103542253165, 0.02670696457736165, 0.047953334346566796]","[-0.024453888123200887, 0.04666036543473806, 0.01745372226017442]","[-1.36769515, -0.08920932, -1.42936137]",CubeS,normal,TRUE,TRUE,easy
"[0.01077503542253151, 0.005385964577361787, 0.04795333434656719]","[-0.030418497596346558, 0.06315612960470998, -0.0014895239695184512]","[-1.48742838, 0.1120212, -1.52614829]",CubeS,normal,TRUE,FALSE,med
"[-0.02613596457746857, 0.011428964577361795, 0.04795333434656725]","[0.043454744849266924, 0.05419410789800963, -0.02357220507164294]","[-1.58744223, -0.11395496, -1.49580184]",CubeS,normal,TRUE,TRUE,easy
"[0.004489035422531682, 0.011670964577361732, 0.04795333434656685]","[-0.019543971422226553, 0.05791308146673235, 0.00907920707754413]","[-1.42405901, 0.09351384, -1.48408]",CubeS,normal,TRUE,TRUE,easy
"[0.01624103542253143, 0.018483964577361792, 0.04795333434656725]","[-0.016874920563886595, 0.052332433328725544, -0.004359497471372278]","[-1.50108584, 0.000402119121, -1.46273507]",CubeS,normal,TRUE,TRUE,easy
"[-0.009246964577468444, 0.007541964577361743, 0.04795333434656706]","[0.008942491899402933, 0.06280766486160272, -0.013755336486785383]","[-1.54666609, -0.00223679, -1.51968789]",CubeS,normal,TRUE,TRUE,easy
"[0.07382803542253163, 0.00039996457736177015, 0.047953334346566776]","[-0.06617880225529102, 0.0733887092443196, -0.00029177790124036707]","[-1.5115747, -0.04397032, -1.47248393]",CubeS,normal,FALSE,FALSE,hard
"[-0.01611096457746857, 0.018266964577361794, 0.047953334346567233]","[-0.01620638390365565, 0.05230861292743478, -0.01071407296031382]","[-1.54043224, 0.19023878, -1.45407559]",CubeS,normal,TRUE,TRUE,easy
"[-0.03786796457746848, 0.01026396457736178, 0.0479533343465672]","[0.012909469373821168, 0.0642782510263096, -0.0030211627488712506]","[-1.48440783, 0.14411742, -1.54880785]",CubeS,normal,TRUE,TRUE,easy
"[0.012677035422531647, 0.03856596457736166, 0.047953334346566776]","[-0.016407583750070384, 0.03179245432030845, -0.009714465439054902]","[-1.53281303, 0.0147273, -1.42039409]",CubeS,normal,TRUE,TRUE,easy
"[0.002044035422531434, 0.02820296457736179, 0.04795333434656724]","[-0.025349771656974062, 0.039610796732786425, 0.018025059341179744]","[-1.36716696, 0.17138061, -1.40559854]",CubeS,normal,TRUE,TRUE,easy
"[-0.06034496457746844, 0.012949964577361747, 0.047953334346567074]","[0.030787968099099117, 0.06579238527000879, 0.0008680601320956854]","[-1.42847654, 0.1754489, -1.38886853]",CubeS,normal,TRUE,TRUE,easy
"[-0.01626335189442974, 0.005886340634742389, 0.04790572295700389]","[0.012154797082858316, 0.06452813693014176, -0.01668241736764555]","[-1.55429655, 0.00969936, -1.41670375]",CubeS,normal,TRUE,TRUE,easy
"[-0.0017959645774685174, 0.023715964577361748, 0.047953334346567095]","[-0.02159609052444265, 0.04552626353852633, -0.008803498337341266]","[-1.52143411, 0.14693197, -1.52825323]",CubeS,normal,TRUE,TRUE,easy
"[-0.01771796457746852, 0.01699396457736175, 0.047953334346567095]","[0.0027013648190833232, 0.05475561523203217, 0.006129426810581269]","[-1.42508667, 0.09585936, -1.45229318]",CubeS,normal,TRUE,TRUE,easy
"[-0.015449964577468353, 0.00682796457736165, 0.047953334346566776]","[0.004381086605867147, 0.06464288191868536, 0.0035087427342612235]","[-1.44770945, 0.06571011, -1.46625623]",CubeS,normal,TRUE,TRUE,easy
"[-0.007927964577468489, 0.038366964577361794, 0.04795333434656721]","[-0.013378246810344614, 0.03155213608394863, -0.014531716008350272]","[-1.55742101, 0.14165599, -1.49109058]",CubeS,normal,TRUE,TRUE,easy
"[-0.010338964577468445, 0.031350964577361744, 0.04795333434656705]","[0.007543052392476476, 0.03983344965154163, 0.0009250887313515116]","[-1.43670214, 0.02131556, -1.34599641]",CubeS,normal,TRUE,TRUE,easy
"[0.005176035422531433, 0.02462696457736179, 0.04795333434656725]","[0.00846248842891934, 0.044794715692495525, -0.02095089269774056]","[-1.59085287, -0.09386731, -1.52688253]",CubeS,normal,TRUE,FALSE,med
"[0.013851035422531513, 0.014617964577361784, 0.047953334346567206]","[-0.030080246413290664, 0.05401833162533118, -0.006373431712370543]","[-1.506896, 0.0975926, -1.55491633]",CubeS,normal,TRUE,FALSE,med
"[-0.0024047642140827084, -0.007273593254118334, 0.04790720112092499]","[0.0056912197541599124, 0.07629746274040534, 0.025378042242363508]","[-1.34446866, -0.02599521, -1.63266801]",CubeS,normal,TRUE,TRUE,easy
"[-0.04891396457746844, 0.015890964577361742, 0.04795333434656706]","[0.03878606679796099, 0.057699974051644135, 0.001047523689103616]","[-1.44515129, 0.06160103, -1.51377796]",CubeS,normal,TRUE,TRUE,easy
"[-0.05276296457746848, 0.016012964577361795, 0.04795333434656721]","[0.019315437736798467, 0.061543147045054064, -0.01341368432035981]","[-1.53455829, 0.19132978, -1.47447741]",CubeS,normal,TRUE,TRUE,easy
"[-0.010363964577468488, 0.021852964577361793, 0.047953334346567206]","[0.02715993864319695, 0.04677650027162021, -0.010283453341913683]","[-1.50996695, -0.11145173, -1.48078223]",CubeS,normal,TRUE,TRUE,easy
"[-0.014680964577468565, 0.041718964577361795, 0.04795333434656725]","[0.003643766444872902, 0.029480757927714617, -0.013168247981791788]","[-1.53795636, 0.07306441, -1.50427854]",CubeS,normal,TRUE,TRUE,easy
"[0.03371903542253156, 0.015597964577361739, 0.04795333434656706]","[-0.039265316159068246, 0.05351879888091385, -0.01375594790723944]","[-1.5813929, 0.01951182, -1.42843601]",CubeS,normal,TRUE,TRUE,easy
"[0.0011810354225314345, 0.006061964577361797, 0.04795333434656725]","[-0.01766477260107741, 0.061921661446587575, 0.026289147726315316]","[-1.32417417, 0.10166015, -1.52988537]",CubeS,normal,TRUE,TRUE,easy
"[0.012488035422531556, 0.01668596457736174, 0.04795333434656706]","[-0.020257153842412202, 0.05102754621745619, -0.028135181082652727]","[-1.65465688, 0.01801907, -1.40679993]",CubeS,normal,TRUE,TRUE,easy
"[0.007413035422531508, 0.036555964577361794, 0.047953334346567206]","[-0.0006181291536444759, 0.034689628123316996, -0.0002448771428732177]","[-1.45180536, -0.04713805, -1.48825995]",CubeS,normal,TRUE,TRUE,easy
"[-0.01679396457746852, 0.02579696457736175, 0.047953334346567095]","[0.014736908107599127, 0.04539057751608366, 0.0012615390812556818]","[-1.45197625, 0.01309854, -1.59153396]",CubeS,normal,TRUE,TRUE,easy
"[-0.038176964577468483, 0.023550964577361787, 0.04795333434656722]","[0.006962205691441736, 0.05115696762717867, -0.014769120778448427]","[-1.54801715, 0.18549867, -1.45649231]",CubeS,normal,TRUE,TRUE,easy
"[-0.048425964577468346, 0.002213964577361652, 0.047953334346566776]","[0.0074220652580254814, 0.07477194610793202, -0.00784700310778512]","[-1.51297642, 0.22110487, -1.48024145]",CubeS,normal,TRUE,TRUE,easy
"[0.0028709701565039153, 0.02575931806467355, 0.04782928462392932]","[-0.011083556457940747, 0.04478626676938068, -0.005052412115288438]","[-1.48881873, 0.05347291, -1.58615588]",CubeS,normal,TRUE,TRUE,easy
"[0.012199035422531512, 0.012880964577361783, 0.04795333434656722]","[-0.020666348595024774, 0.054788988609429885, 0.02827482762256821]","[-1.30849527, 0.06478596, -1.48869022]",CubeS,normal,TRUE,TRUE,easy
"[-0.004701964577468567, 0.004248964577361793, 0.04795333434656724]","[-0.0047865458982598265, 0.06605197197419514, -0.014061052869572765]","[-1.5503367, 0.05720999, -1.61283599]",CubeS,normal,TRUE,TRUE,easy
"[0.02904003542253143, 0.0030459645773617964, 0.04795333434656725]","[-0.043487962354469556, 0.0644639912821847, -0.011469669928417886]","[-1.56795748, 0.07178862, -1.44238493]",CubeS,normal,TRUE,FALSE,med
"[-0.007467964577468517, 0.03034296457736175, 0.047953334346567095]","[-0.0038052631358162885, 0.040669116890039735, 0.006459262875013964]","[-1.41470803, 0.07911547, -1.46703876]",CubeS,normal,TRUE,TRUE,easy
"[-0.05202326762253369, -0.008369815307361623, 0.047917747179866056]","[0.055603627411053534, 0.07805348368469114, -0.006273814589760337]","[-1.41717063, -0.01447929, -1.25056484]",CubeS,normal,FALSE,FALSE,hard
"[0.04388110149066903, -0.0032334319986325483, 0.04790444580623713]","[-0.05845112988724792, 0.06987458229461475, -0.005893737847981341]","[-1.4794198, 0.08162861, -1.65932829]",CubeS,normal,FALSE,FALSE,hard
"[-0.016194964577468576, 0.03695696457736179, 0.047953334346567233]","[-0.008642371083548185, 0.03474350289916867, -0.0016126975980823993]","[-1.45894268, 0.17184381, -1.5986827]",CubeS,normal,TRUE,TRUE,easy
"[0.020400035422531645, 0.02051496457736165, 0.047953334346566776]","[-0.03193742357825355, 0.046558901350105826, -0.025006708992877866]","[-1.62266533, 0.06975908, -1.54915962]",CubeS,normal,TRUE,FALSE,med
"[-0.011011964577468563, 0.0011599645773617967, 0.04795333434656725]","[0.002714949821677316, 0.06999040197105114, 0.002343506350274832]","[-1.45971787, 0.04684755, -1.51730767]",CubeS,normal,TRUE,TRUE,easy
"[0.02656803542253154, 0.01254496457736187, 0.04795333434656728]","[-0.030048937647836397, 0.05533067437213497, 0.02853532889111436]","[-1.28033102, 0.00395907, -1.66527986]",CubeS,normal,TRUE,FALSE,med
