obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[-0.030805077792045693, -0.0021487644447999274, 0.052739999952448845]","[0.030795102038867806, 0.07215878818742107, -0.012539473045194743]",[-1.57  0.   -1.57],CubeM,normal,True,True,easy
"[-0.04402264170015219, -0.008724276881854526, 0.052739999952448845]","[0.04401266592587623, 0.07873429853958999, -0.012544762289855458]",[-1.57  0.   -1.57],CubeM,normal,False,False,hard
"[-0.04048089685621112, 0.015505410648094202, 0.052739999952448845]","[0.040470906839986984, 0.054504618692103844, -0.01256123664508869]",[-1.57  0.   -1.57],CubeM,normal,True,True,easy
"[-0.03494322729266389, 0.008426060608851612, 0.052739999952448845]","[0.034933243521530835, 0.06158396648670991, -0.012551189377156609]",[-1.57  0.   -1.57],CubeM,normal,True,True,easy
"[-0.03855371071794225, 0.0027234205283227816, 0.052739999952448845]","[0.03854372941829052, 0.0672866047591131, -0.012549523338368854]",[-1.57  0.   -1.57],CubeM,normal,True,False,med
"[-0.03185996163768206, 0.004667462382785081, 0.052739999952448845]","[0.031849981227617695, 0.0653425635210446, -0.012545741019145937]",[-1.57  0.   -1.57],CubeM,normal,True,True,easy
"[-0.035306897052634435, 0.002176256085955459, 0.052739999952448845]","[0.035296917129420756, 0.06783376902799201, -0.012546502092399929]",[-1.57  0.   -1.57],CubeM,normal,True,True,easy
"[-0.03220179070079799, 0.015522121262459677, 0.052739999952448845]","[0.032191803299018044, 0.05448790808303678, -0.01255465707882049]",[-1.57  0.   -1.57],CubeM,normal,True,True,easy
"[-0.029679864214562663, 0.0014795238926143708, 0.052739999952448845]","[0.02966988651732509, 0.0685305010004215, -0.012541466309568932]",[-1.57  0.   -1.57],CubeM,normal,True,True,easy
"[-0.04966715661631978, 0.00955751655996402, 0.052739999952448845]","[0.04965716745920025, 0.06045251089434616, -0.012563815443674192]",[-1.57  0.   -1.57],CubeM,normal,True,False,med
"[-0.05295584035267344, -0.008611133350283434, 0.052739999952448845]","[0.052945861674216166, 0.07862115504389312, -0.012551966133742517]",[-1.57  0.   -1.57],CubeM,normal,False,False,hard
"[-0.039712473518064964, -0.002029888558769986, 0.052739999952448845]","[0.03970249486525195, 0.07203991233908288, -0.012546660906347736]",[-1.57  0.   -1.57],CubeM,normal,True,False,med
"[-0.03515566892353097, 0.003006103167842789, 0.052739999952448845]","[0.03514568852203081, 0.06700392220922277, -0.012547042494588913]",[-1.57  0.   -1.57],CubeM,normal,True,True,easy
"[-0.04866879447431323, 0.006172019701207757, 0.052739999952448845]","[0.04865880778060877, 0.06383800667966914, -0.012560324460510601]",[-1.57  0.   -1.57],CubeM,normal,True,False,med
"[-0.04447718299592154, -0.004405298419323774, 0.052739999952448845]","[0.04446720433870428, 0.07441532144646983, -0.012548563570052707]",[-1.57  0.   -1.57],CubeM,normal,False,False,hard
"[-0.05217275618453887, -0.00857824050144866, 0.052739999952448845]","[0.052162777733514104, 0.07858826220548762, -0.012551368736348493]",[-1.57  0.   -1.57],CubeM,normal,False,False,hard
